,workflowId,time0,coldState_groupId,coldState_fixedStartTime
0,wflow_w3ra_global,30/05/2022 00:00:00,20220525.0,25/05/2022 00:00:00
1,wflow_w3ra_global,04/06/2022 00:00:00,,
2,wflow_w3ra_global,09/06/2022 00:00:00,,
3,wflow_w3ra_global,14/06/2022 00:00:00,,
4,wflow_w3ra_global,19/06/2022 00:00:00,,
5,wflow_w3ra_global,24/06/2022 00:00:00,,
6,wflow_w3ra_global,29/06/2022 00:00:00,,
7,wflow_w3ra_global,04/07/2022 00:00:00,,
8,wflow_w3ra_global,09/07/2022 00:00:00,,
9,wflow_w3ra_global,14/07/2022 00:00:00,,
10,wflow_w3ra_global,19/07/2022 00:00:00,,
11,wflow_w3ra_global,24/07/2022 00:00:00,,
12,wflow_w3ra_global,29/07/2022 00:00:00,,
13,wflow_w3ra_global,03/08/2022 00:00:00,,
14,wflow_w3ra_global,08/08/2022 00:00:00,,
15,wflow_w3ra_global,13/08/2022 00:00:00,,
16,wflow_w3ra_global,18/08/2022 00:00:00,,
17,wflow_w3ra_global,23/08/2022 00:00:00,,
18,wflow_w3ra_global,28/08/2022 00:00:00,,
19,wflow_w3ra_global,02/09/2022 00:00:00,,
20,wflow_w3ra_global,07/09/2022 00:00:00,,
21,wflow_w3ra_global,12/09/2022 00:00:00,,
22,wflow_w3ra_global,17/09/2022 00:00:00,,
0,wflow_routing_global,30/05/2022 00:00:00,20220525.0,25/05/2022 00:00:00
1,wflow_routing_global,04/06/2022 00:00:00,,
2,wflow_routing_global,09/06/2022 00:00:00,,
3,wflow_routing_global,14/06/2022 00:00:00,,
4,wflow_routing_global,19/06/2022 00:00:00,,
5,wflow_routing_global,24/06/2022 00:00:00,,
6,wflow_routing_global,29/06/2022 00:00:00,,
7,wflow_routing_global,04/07/2022 00:00:00,,
8,wflow_routing_global,09/07/2022 00:00:00,,
9,wflow_routing_global,14/07/2022 00:00:00,,
10,wflow_routing_global,19/07/2022 00:00:00,,
11,wflow_routing_global,24/07/2022 00:00:00,,
12,wflow_routing_global,29/07/2022 00:00:00,,
